Hotel,Dish,Review,Rating,Price
Hotel A,Dosa,savory delicious experience recommendation mouthwatering mouthwatering menu disappointing tasty mediocre portion quality flavorful meal expensive restaurant service expensive affordable expensive,3,$27.48
Hotel A,Dosa,cuisine authentic meal price tasty flavorful recommendation overcooked service presentation ambiance bland spicy tasty flavor ambiance aroma bland rich flavor,3,$27.48
Hotel A,Dosa,taste rich bland service tasty menu menu affordable quality spices savory exquisite delicious expensive delicious mouthwatering overcooked experience heavenly recommendation,4,$27.48
Hotel A,Dosa,aroma ingredients overcooked service mouthwatering flavorful spices expensive rich heavenly authentic tasty service savory affordable meal exquisite portion undercooked ambiance,2,$27.48
Hotel A,Dosa,cuisine delicious rich service service bland rich restaurant ambiance menu portion restaurant menu taste ingredients satisfying unique mouthwatering texture tasty,5,$27.48
Hotel A,Dosa,unique portion meal portion spices ingredients bland menu rich texture recommendation price heavenly ingredients unique meal delicious undercooked authentic tasty,2,$27.48
Hotel A,Dosa,dish aromatic price portion spicy authentic satisfying aromatic ingredients authentic spices quality taste menu flavorful ambiance menu rich taste texture,1,$27.48
Hotel A,Dosa,rich tasty spicy quality taste dish authentic savory affordable exquisite spicy recommendation disappointing rich ambiance dish expensive menu aroma spices,2,$27.48
Hotel A,Dosa,affordable unique flavor ambiance spices disappointing service unique exquisite dish tasty restaurant savory authentic meal rich ingredients experience spices tasty,5,$27.48
Hotel A,Dosa,exquisite quality price disappointing mouthwatering delicious tasty unique recommendation flavorful tasty restaurant meal bland ingredients menu chef flavor undercooked taste,3,$27.48
Hotel A,Butter Chicken,rich menu ingredients mediocre service flavor flavorful spicy chef heavenly unique expensive spicy mediocre heavenly ingredients affordable tasty texture quality,5,$13.85
Hotel A,Butter Chicken,mouthwatering savory restaurant price tasty overcooked ambiance chef meal tasty quality overcooked aroma exquisite ambiance overcooked mouthwatering dish affordable presentation,2,$13.85
Hotel A,Butter Chicken,satisfying bland overcooked authentic exquisite portion price overcooked aromatic bland taste delicious rich expensive satisfying satisfying overcooked disappointing unique cuisine,5,$13.85
Hotel A,Butter Chicken,disappointing exquisite aroma overcooked service ambiance flavorful price mouthwatering expensive quality delicious overcooked mediocre presentation heavenly presentation authentic chef authentic,3,$13.85
Hotel A,Butter Chicken,ambiance delicious disappointing ambiance flavorful bland flavor texture unique texture undercooked taste flavor mediocre unique savory delicious unique flavor exquisite,3,$13.85
Hotel A,Butter Chicken,undercooked quality ingredients flavorful ingredients aroma aromatic spices savory service menu texture spices taste service heavenly experience restaurant rich portion,3,$13.85
